dtg,lat,lng,mag,depth
"1925-10-05 01:09:00",12.200000,-85.200000,6.70,135
"1925-02-23 23:54:00",60.000000,-146.000000,6.80,0
"1925-05-23 02:09:00",35.750000,134.750000,6.80,0
"1925-06-29 14:42:00",34.418000,-120.196000,6.80,10
"1925-05-05 10:06:00",9.300000,122.700000,6.80,33
"1925-03-16 14:42:00",25.700000,100.400000,7.00,26
"1925-11-16 11:54:00",18.500000,-107.000000,7.00,80
"1925-05-15 11:56:00",-26.000000,-71.500000,7.10,50
"1925-11-13 12:14:00",13.000000,125.000000,7.30,22
"1925-10-13 17:40:00",11.000000,-42.000000,7.50,60
"1925-03-22 08:41:00",-18.500000,168.500000,7.60,50
"1926-08-17 01:42:00",38.567000,14.833000,5.30,100
"1926-11-22 00:00:00",25.600000,100.300000,5.50,0
"1926-10-22 19:59:00",40.700000,43.700000,5.70,7
"1926-12-17 06:31:00",41.000000,19.500000,5.80,0
"1926-06-28 03:23:00",-0.700000,100.600000,5.80,0
"1926-12-09 22:38:00",-28.000000,-71.000000,6.00,33
"1926-09-16 17:59:00",-9.674000,159.519000,6.90,35
"1926-11-05 07:55:00",12.300000,-85.800000,7.00,135
"1926-06-29 14:27:00",27.000000,127.000000,7.50,130
"1926-04-12 08:32:00",-10.000000,161.000000,7.50,60
"1926-06-26 19:46:00",36.500000,27.500000,7.90,100
"1926-10-26 03:44:00",-3.500000,138.500000,7.90,0
"1926-10-03 19:38:00",-49.000000,161.000000,7.90,50
"1927-03-20 00:00:00",24.100000,102.000000,5.00,0
"1927-11-24 00:00:00",25.200000,102.500000,5.50,0
"1927-09-24 06:18:00",44.400000,34.300000,5.70,23
"1927-01-01 08:16:00",32.500000,-115.500000,5.80,0
"1927-05-15 02:47:00",44.100000,20.500000,5.90,12
"1927-06-26 11:20:00",44.400000,34.400000,6.00,27
"1927-03-14 17:37:00",26.000000,103.000000,6.00,0
"1927-07-11 13:04:00",32.000000,35.500000,6.30,33
"1927-12-01 04:37:00",-0.700000,119.700000,6.30,0
"1927-09-11 22:15:00",44.400000,34.500000,6.80,17
"1927-08-24 18:09:00",23.000000,120.500000,6.80,0
"1927-08-05 21:13:00",37.900000,142.000000,6.90,10
